ano,consumo_anual_MWh,fator_emissao_tCO2_MWh,emissao_tCO2
2006,356129310.247,0.3355,119481383.5878685
2007,377031054.0,0.3227,121667921.1258
2008,388472398.89,0.3531,137169604.04805902
2009,384306380.35,0.2997,115176622.19089502
2010,415667757.237,0.3823,158909783.59170508
2011,433015633.857,0.3073,133065704.2842561
2012,448126391.897,0.4185,187540895.0088945
2013,463441956.604,0.4653,215639542.40784118
2014,475036570.996,0.5224,248159104.68831038
2015,465522863.791,0.5317,247518506.67767468
2016,462471834.916,0.436,201637720.02337602
2017,467788486.864,0.4287,200540924.3185968
2018,476291798.092,0.3932,187277935.0097744
2019,484598977.312,0.3896,188799761.5607552
2020,476651805.766,0.349,166351480.21233398
2021,502710794.346,0.5004,251556481.4907384
2022,509596224.42,0.2453,125003953.850226
2023,531982625.434,0.2601,138368680.8753834
2024,561715779.003,0.2749,154415667.6479247
